"","species","dr.statistic","tb.statistic","nh.statistic","div","elev.mid","elev.max","elev.range","lat.mid","lat.max","lat.range","temp","temp.stability","temp.seasonality","min.temp.cold.q","precip","precip.stability","precip.seasonality","min.precip.dry.q"
"Aphano_audax_L2210","Aphano_audax_L2210",-1.59979770558774,1.05385896548093,18.6883006552651,196,350,700,700,8.51440429700011,11.3385009770001,5.64819336000001,260.7806628,23.68514004,313.6010232,227.475121,2105.271192,444.8977731,52.16580927,123.9468727
"Ochorn_litto_L40723","Ochorn_litto_L40723",-2.4016459972665,2.34326646962807,20.8084750218859,472,300,600,600,5.05212402299986,7.54248046900022,25.1892089840001,250.3857745,30.64941299,551.8214423,211.6195668,2478.544929,189.6755722,43.76145203,276.6423206
"Myiothe_fumgat_IAvHBTAMC872","Myiothe_fumgat_IAvHBTAMC872",-0.950790647714529,0.738484246786002,15.4171551644756,462,2700,3600,1800,0.806762695500112,10.7517089850002,19.8898925790001,127.9640435,65.80121776,383.6240883,80.37007566,1641.021782,296.8862727,38.23975703,200.1754127
"Myiothe_pernix_USNM387496","Myiothe_pernix_USNM387496",-0.950790647714529,0.738484246786002,15.4171551644756,125,75,150,150,11.0375061035001,11.1945190430002,0.3140258790002,143.1892866,37.86496229,372.3364869,105.1879329,1894.543547,360.1381411,61.81298064,69.56865789
"Myiothe_fusfus_L1837","Myiothe_fusfus_L1837",-1.1258216361144,0.877836764696036,15.9106512446414,418,2725,3550,1650,13.6522521974999,9.42651367199983,8.45147705100007,130.7802792,60.82064134,1179.961768,64.10462946,1594.010658,278.3821104,58.4794458,120.438325
"Myiothe_strcol_L38280","Myiothe_strcol_L38280",-1.32436773604299,1.10620869610058,16.4300728309737,577,2100,3700,3200,9.18798828100014,11.1458740230001,3.91577148399996,146.9938055,51.95913782,1227.908757,77.24862328,1306.751269,217.4508495,58.4740364,126.5040111
"Agrior_livid_YPM83046","Agrior_livid_YPM83046",-0.495002133508612,0.12909657333441,14.8887174346661,50,1000,2000,2000,40.2638549799999,25.7924194329998,28.9428710940002,78.75274923,61.97412903,3551.946961,-0.369689226,1214.341598,252.7565123,48.27953592,179.9254383
"Agrior_micro_A13502","Agrior_micro_A13502",-0.495002133508612,0.12909657333441,14.8887174346661,179,2500,5000,5000,25.8068542479999,13.5787963869999,24.456115722,95.16324532,49.68248247,4253.320869,-18.28114449,310.576052,71.93458063,64.287988,26.34625123
"Agrior_albcau_L72330","Agrior_albcau_L72330",-0.762301662126656,0.220508883623362,15.3798216287613,269,3475,4500,2050,13.5263061524999,0.00408935599989491,27.0444335930001,68.98827939,59.76473974,1925.366704,-27.07007667,582.3965927,87.89231853,102.4726079,26.20977442
"Agrior_murnus_K11848","Agrior_murnus_K11848",-1.11175749604517,0.889029703726604,15.9032701705673,105,1250,2500,2500,32.6929925299999,28.4685045909998,8.4489758780001,137.1069939,42.21917139,5549.581756,14.22939632,313.6490784,99.01918088,41.51640754,35.4955468
"Agrior_montan_L6710","Agrior_montan_L6710",-1.29380178411345,1.02837185358293,16.4213664078968,332,2250,4500,4500,23.8010864259999,2.51171875000017,52.6256103520002,106.035292,45.15137805,4195.677585,-6.069964423,434.085698,97.68930595,64.35196644,35.2878884
"Neoxol_ruftri_L70016","Neoxol_ruftri_L70016",-1.23202121834357,0.955736419718733,15.9601192076043,43,600,1200,1200,48.6753845214999,41.9868774409999,13.377014161,82.785583,67.41275789,4423.9666,-8.948482829,268.1297957,104.365962,27.11134673,46.94124607
"Xolmis_rubtra_K11946","Xolmis_rubtra_K11946",-1.23202121834357,0.955736419718733,15.9601192076043,77,500,1000,1000,35.816314697,32.546508789,6.539611816,140.1083565,41.65118524,5730.318266,15.015822,294.3271303,113.2957279,32.95986048,40.20578788
"Xolmis_cortus_KU11859","Xolmis_cortus_KU11859",-1.44826352865846,1.3521632141237,16.4739474463583,108,750,1500,1500,32.6502685544999,26.2144165039998,12.8717041010002,156.1673221,31.70031301,5705.623129,23.86323107,400.4784357,131.2554219,49.95197075,37.5964292
"Xolmis_cinreu_SB14699","Xolmis_cinreu_SB14699",-1.53593287468581,1.4403539507821,16.9782741842127,477,600,1200,1200,12.3690185549999,2.65087890600017,30.0397949220001,233.7528306,34.41790695,2043.830107,159.5325184,1494.624706,110.3145751,60.66648201,91.33774834
"Xolmis_pyrope_A12144","Xolmis_pyrope_A12144",-1.71736997301166,1.58808515630879,18.0724467654485,57,1000,2000,2000,43.6322937009999,31.3421020509999,24.5803833,72.06709582,65.00427298,3668.599066,-6.976669757,1160.695039,251.43777,42.46927391,173.2182128
"Xolmis_irupe_SB14801","Xolmis_irupe_SB14801",-1.41681151491467,0.694420369710554,17.9467154611007,351,650,1300,1300,22.5928955079999,4.01940917999985,37.1469726560001,211.7483922,29.13816464,3541.934747,111.3304709,1021.124324,102.9059836,53.37315742,99.63754626
"Xolmis_veltus_L38195","Xolmis_veltus_L38195",-1.41681151491467,0.694420369710554,17.9467154611007,415,500,1000,1000,9.38409423799979,1.71551513700024,22.19921875,247.5452433,36.83742161,1365.843673,182.073496,1537.572682,114.51406,71.20318088,58.44176568
"Cnemar_erygiu_L30022","Cnemar_erygiu_L30022",-1.67338924908217,1.19022746854224,18.5882548911508,467,3575,4300,1450,2.39426159400014,10.9712270780002,17.1539309680001,85.46027554,76.18802652,808.3385996,22.52702451,1217.038191,232.5355218,54.46805949,103.9731657
"Poliox_rufnis_K19488","Poliox_rufnis_K19488",-1.67338924908217,1.19022746854224,18.5882548911508,264,3800,4600,1600,14.6784973144999,6.20880126899988,16.939392091,70.62103441,71.05351353,1490.505075,-15.58095178,738.1510111,104.5704457,86.49320318,23.79463635
"Knipo_poecus_A14176","Knipo_poecus_A14176",-1.26250244024613,1.09786100652634,16.0257720920974,420,200,400,400,1.98931884749982,8.35668945300023,20.6920166010001,256.1778297,30.88736553,630.199806,222.0608671,2405.30297,285.0876591,50.35758869,234.1978905
